$100-a-plate dinner	tuluõhtu, heategevuslik bankett
abstract case	abstraktne kääne, grammatiline kääne
abstract character	abstraktne märk
abstracted	mõtteisse vajunud
abstractedly	hajameelselt
abstractedness	süvenemus
abstracter	kokkuvõtete tegija
abstract expressionism	abstraktne ekspressionism
abstract idea	abstraktne idee
abstraction	abstraktsioon, üldistus, hajameelsus
abstractionism	abstraktsionism
abstractionist	abstraktsionist
abstractive	abstraheeriv
abstractly	abstraktselt
abstract mathematics	abstraktne matemaatika
abstract of title	sisukokkuvõte
abstractor	kokkuvõtete tegija
abstract substantive	abstraktne nimisõna
abstruse	raskesti mõistetav, arusaamatu
abstrusely	raskesti mõistetavalt
abstruseness	raskesti mõistetavus
abstrusity	sügav tarkus
absurd	absurdne, mõttetu, vaimuhaige ; absurd
absurd idea	absurdne mõte
absurdities	mõttetused
absurdity	absurdsus, mõttetus
absurdly	absurdselt
absurdness	mõttetus
abulia	otsustusvõimetus, abuulia, tahtejõuetus
abulic	tahtejõuetu, otsustusvõimetu
abundance	küllus, rohkus, sisaldus
abundant	külluslik, rohke
abundantly	külluslikult
abundant year	liigaasta
a bundle of nerves	närvipundar
abusage	väärtarvitus
abuse	väärastama, solvama ; kuritarvitus, solvang
abuse a privilege	õigusi kurjasti kasutama
abused	kuritarvitatud, solvatud
abuse of office	ametikoha kuritarvitus
abuse of power	võimu kuritarvitamine
abuser	solvaja, kuritarvitaja
abusive	solvav, teotav
abusively	solvavalt
abut	piirnema, kokku puutuma
abutment	liitekoht
abutment arch	toestatud võlv
abut on	piirnema, külgnema
abutter	mitme piirneva maatüki omanik
abutting	piirnev
abut upon	piirnema, külgnema
abuzz	sumisev
abysm	sügavik
abysmal	põhjatu, kuristikuline, piiritu
abysmally	kohutavalt
abyss	kuristik, sügavik, süvik, abüssaal, süvameri
abyssal	sügaviku-, abüssaalne
abyssal zone	meresügavik (2-5 km)
Abyssinia	Abessiinia, Etioopia
Abyssinian	etiooplane, amhari keel
a.c.	(retseptil) enne sööki
AC	vahelduvvool, õhukonditsioneer
AC/DC	vahelduvvoolu-alalisvoolu
acacia	akaatsia
academe	akadeemiline maailm
academia	akadeemiline maailm
academic	akadeemiline ; akadeemik, õppejõud
academically	akadeemiliselt
academic costume	akadeemiline riietus
academic degree	akadeemiline kraad, õpetlaskraad
academic freedom	akadeemiline vabadus
academic gown	akadeemiline rüü, kohtunikurüü
academician	akadeemik, õppejõud, õpetlane
academicianship	akadeemikuseisus
academic institution	akadeemiline asutus
academic leave	akadeemiline puhkus
academic robe	õpetlasrüü, kohtunikurüü
academic year	akadeemiline aasta
academies	akadeemiad, erikallakuga koolid
academy	akadeemia, erikallakuga kool
Academy	Akadeemia
academy board	Akadeemiaauhind (filmikunstis)
academy figure	akt (mustvalge skits)
academy of music	muusikaakadeemia
acalculia	arvutamisvõimetus
Acalypha	nõgesleht
Acanthocephala	kidakärssussid
acanthous	ogakujuline
acanthus	akantus
acapnotic	mittesuitsetaja
a cappella	a cappella (saateta)
Acapulco gold	marihuaana
acardia	akardia, südame puudumine
a card up your sleeve	salaplaan, trump
Acarina	lestalised
Acarnan	Akarnaania
acarpous	viljakandmatu
ACAS	ACAS (õhukokkupõrke vältimise süsteem)
acataleptic	mõistetamatu
acaudal	sabatu
acaudate	sabatu
acaudelescent	maapealse varreta
accede	nõustuma, järgi andma, soostuma, ametisse asuma
accede to	nõustuma, ametisse astuma
accede to the throne	troonile astuma
accelerando	accelerando (kiirenevalt)
accelerant	aktselerant, kiirendi
accelerate	kiirendama, kiirenema
accelerated	kiirendatud
acceleratedly	kiirendatult
accelerated procedure	kiirmenetlus
accelerating	kiirenev
acceleratingly	kiirenevalt
acceleration	kiirendus, aktseleratsioon
acceleration due to gravity	gravitatsioonikiirendus
acceleration of free fall	vaba langemise kiirendus
acceleration of gravity	gravitatsioonikiirendus
accelerator	gaasipedaal, kiirendi, aktseleraator
acceleratory	kiirenev
accelerometer	kiirendusmõõtur, aktseleromeeter
accent	aktsent, rõhk, rõhumärk ; rõhutama
accented	rõhuline
accenting	rõhutamine
accentless	rõhutu
accent mark	rõhumärk, diakriitiline märk
accentor	raat (lind, Prunella)
accentuate	rõhutama, esile tooma, toonitama
accentuation	rõhk (sõnas)
accept	aktsepteerima, vastu võtma, tunnustama ; saavutus
acceptability	vastuvõetavus, aktsepteeritavus
acceptable	vastuvõetav
acceptably	vastuvõetavalt
accept a challenge	väljakutset vastu võtma
accept advice	nõu kuulda võtma
acceptance	vastuvõtt, heakskiit, nõusolek, aktsept
acceptant	vastuvõtlik
acceptation	nõusolek, omaksvõtt, tähendus
accepted	omaksvõetud, tunnustatud
accepted fact	tunnustatud fakt
accepting	nurinata tunnustav
acceptive	vastuvõtlik
accept the responsibility	vastutust enda peale võtma
accept unquestioningly	vastuvaidlemata tunnustama
accept your fate	saatusega leppima
accept your lot	oma osaga leppima
access	juurdepääs, ligipääs ; pöörduma
accessable	ligipääsetav
accessary	kaasosaline
access board	landgang
accessibility	ligipääsetavus, kättesaadavus, hõlbustus
accessible	ligipääsetav, kättesaadav
accession	vastuvõtmine, ametisseasumine, lisandus
accessional	lisand-
accessions	uudiskirjandus
accession to power	võimulepääs
accessories	lisaseadmed, riideesemed
accessory	lisavarustus, juurdekuuluv, tarvikud, kaasosaline
accessory after the fact	kuriteo sooritanu teadlik aitaja
accessory before the fact	kuriteo teadmatu kaasosaline
access road	harutee, väljasõidutee
access time	pöördusaeg
access to	ligipääs, juurdepääs, luba
accidence	käänamisõpetus
accident	juhus, õnnetus, avarii
accidental	juhuslik
accidental discovery	juhuslik avastus
accidentally	juhuslikult, kogemata
accident boat	valvepaat
accident insurance	avariikindlustus
accident of the sea	mereõnnetus
accident prone	avariiohtlik
accident-prone	avariiohtlik
accidents	äpardused, ettenägematud asjaolud
accidious	laisk
accinge	end kokku võtma, pihta hakkama
accipiter	haugas, kull
Accipiter	haugas
accipitrine	hauka-
accismus	huvipuuduse teesklemine, näiline ükskõiksus
acclaim	heaks kiitma, kiiduhõisetega vastu võtma ; tunnustus
acclaimed	heakskiidetud, tunnustatud
acclamation	(häälekas) heakskiit, hõigetega hääletamine
acclimate	aklimatiseeruma, kohanema
acclimation	kohanemine
acclimatisation	aklimatiseerumine
acclimatise	kohanema, kohandama
acclimatization	aklimatsioon, kohanemine
acclimatize	aklimatiseeruma
acclivitous	tõusev, ülessuunas
acclivity	tõus, nõlvak
accolade	aumärk, tunnustus, ühenduskaar, rüütlikslöömine
accommodate	kohandama, teenet osutama, majutama
accommodated	majutatud
accommodate to	sobima, vastuvõetav olema
accommodating	vastutulelik
accommodatingly	vastutulelikult
accommodation	majutus, kohanemine, kokkulepe
accommodation agency	kinnisvarabüroo
accommodation ladder	trapp
accommodations	eluruumid
accommodative	lepitustotsiv, vastutulelik
accompanied	saadetud
accompaniment	saade, eskort
accompanist	saatja
accompany	saatma, kaasnema
accompanying	kaasnev, saatev
accompanyist	saatja, klaverisaatja
accomplice	kaasosaline
accomplish	teostama, täitma, korda saatma
accomplishable	saavutatav, teostatav
accomplished	lõpetatud, tõestatud, meisterlik
accomplished fact	tehtud tegu
accomplishment	saavutus, oskus
accomplishments	saavutused, oskused, võimed
accord	kooskõla ; kooskõlla viima, vastama, võimaldama
accordance	ühisel meelel, vastavuses
accordant	kooskõlas
according	vastavalt, järgi, kohaselt
accordingly	vastavalt
according to	vastavalt, kohaselt, järgi, andmetel
according to circumstances	vastavalt asjaoludele
according to custom	tava järgi
according to expectation	ootuspäraselt
according to law	seaduse järgi
according to reports	aruannete alusel
according to rule	vastavalt korrale
according to the contract	lepingu järgi
according to the evidence	tunnistuste järgi, tõendite alusel
accordion	akordion
accordion door	lõõtsuks
accordionist	akordionist
accost	kõnetama, seksuaalteenust pakkuma
accouchement	sünnitus
accoucheur	akušöör
accoucheuse	akušöör
account	konto, arve, aruanne, seletus ; aru andma
accountability	aruandekohustus
accountable	vastutav, aruandev
accountancy	aruandlus, raamatupidamine
accountant	raamatupidaja, arveametnik
account book	arveraamat
account for	selgitama, põhjendama, aru andma
accounting	aruandlus, aruanne, raamatupidamine, arvepidamine
Accounting Act	Raamatupidamise seadus
accounting period	aruandeperiood, majandusperiood
account payable	kohustus, makstaolev summa
account receivable	nõue, saadaolev summa
accounts payable	makstaolevad summad
accounts receivable	saadaolevad summad
accouter	relvastama, varustama
accoutered	relvastatud, varustatud
accouterment	< accoutrement
accouterments	< accoutrements
accoutre	relvastama, varustama
accoutred	relvastatud, varustatud
accoutrement	lisarõivastus, (rolli, eseme vm) tundemärk
accoutrements	varustus, rõivastuse lisandid
accredit	akrediteerima, õigeks tunnistama
accreditation	akrediteerimine
accredited	volitatud, akrediteeritud
accrete	kokku kasvama
accretion	juurdekasv, osaluse suurenemine, kuhje
accrual	lisandumine, laekumine, kuhjumine ; tekkepõhine
accrual basis	arvepõhine (raamatupidamine)
accrue	juurde kasvama, lisanduma, omandusse minema
accrued	kogunenud
accrued dividend	kogunenud dividendid
accrued dividends	kogunenud dividendid
accrued interest	liitintress
accrue from	välja kasvama, tulenema
accubation	süües naaldumine, pikutamine
accumbent	külitsi lebav, küünarnukile toetuv
accumulate	kogunema, akumuleeruma, koguma
accumulated	kogunenud, kuhjunud
accumulating	akumuleeruv, kogunev
accumulation	akumulatsioon, kogunemine
accumulator	aku, akumulaator, koguja, salvesti
accuracy	täpsus
accurate	täpne, õige, vigadeta
accurately	täpselt
accurateness	täpsus
accurse	needma
accursed	neetud
accurst	neetud
accusal	süüdistus
accusation	süüdistus
accusatival	akusatiivi
accusative	akusatiiv, sihitis ; süüdistav
accusatory	süüdistav
accuse	süüdistama
accused	süüalune
accuse of	süüdistama
accuser	süüdistaja
accuse yourself	ennast süüdistama
accusing	süüdistav
accusingly	süüdistavalt, laitvalt
accustom	harjutama, harjuma, kohandama
accustomed	harjunud, harjumuspärane
accustomize	harjuma, kohanema
accustoms	tavad
accustom yourself to	harjuma
ace	äss, üks ; tipp-, ekspert ; ühe löögiga saavutama
acedia	tüdimus, acedia (mõttelaiskus, loidus - surmapatt)
ace in the hole	salakaart, varjatud ressurss
aceldama	lahinguväli
acephalous	ilma peata, juhita
acequia	(Am, er California) niisutuskraav
Acer	vaher
Aceraceae	vahtralised
acerate	piklik, nooljas
acerb	kibe
acerbate	kibestama, meeleheitele viima
acerbic	kibe, lõikav (hääl), salvav (märkus)
acerbically	salvavalt, kibedalt
acerbity	kibedus, salvavus
acerbly	salvavalt
acerin	kiisk
acerose	piklik, nooljas
a certain	teatud, keegi, mingi
a certain number	teatud arv
acescent	hapukas
acetal	atsetaal
acetaldehyde	atseetaldehüüd
acetate	atsetaat
acetate rayon	atsetaatkangas
acetic	äädikhappe-, atsetaan-
acetic acid	äädikhape
acetic anhydride	etaananhüdriid
acetify	happeliseks muutma, hapustama
acetometer	atsetomeeter
acetone	atsetoon
acetose	äädikamaitseline
acetous	äädikamaitseline
acetyl	atsetüül (CH3CO radikaal)
acetylation	atsetüleerimine
acetylcellulose	atsetüültselluloos
acetylene	atsetüleen, etüün
acetylene burner	atsetüleenipõleti
acetylene generator	atsetüleenigeneraator
acetylization	atsetüleerimine
acetylsalicylic acid	atsetüülsalitsüülhape, aspiriin
ach	(Š) oh
Achaea	Ahhaia
Achaia	Ahhaia
achates	ustav sõber
ache	valu ; valutama
ache for	igatsema
achievable	saavutatav
achieve	saavutama, läbi raskuste teostama
achieve inner harmony	sisemist tasakaalu saavutama
achievement	saavutus, edusamm
achievement-oriented	tulemusele orienteeritud
achievements	saavutused
achieve satisfaction	rahuldust saama
achieve success	edu saavutama
achieve your purpose	eesmärki saavutama, eesmärgile jõudma
Achillea	raudrohi
Achilles	Ahilleus
achilles' heel	ahilleuse kand
Achilles heel	ahilleuse kand
Achilles' heel	ahilleuse kand, ainus haavatav koht
aching	valutav ; valu
achondrite	akondriit
achromatic	akromaatiline, värvusetu
achromatic color	akromaatiline värv (valge, hall, must)
achromatic colour	akromaatiline värv (valge, hall, must)
achromatin	akromatiin, raku värvuseta osa
achromatism	akromatism
achromatopsia	akromatopsia, täielik värvipimedus
achy	valutav
achy joint	valutav liiges
acicular	nõeljas, nõelakujuline
acid	hape, LSD ; happeline, hapu, kibe
acid anhydride	happeline anhüdriid
acid-base balance	hapete tasakaalustatus inimkehas
acid bath	happevann
acid concentration	happelisus
acid-fast	happekindel, vastupidav happelistele ühenditele
acidhead	LSD tarvitaja
acid-head	LSD tarvitaja
acidic	happeline
acidify	happeliseks muutma, hapustama, hapendama
acidimeter	atsidimeeter
acidimetry	atsidimeetria
acidity	happesus, hapusus
acidlessness	happetus
acidly	salvavalt, happeliselt
acidophile	atsidofiil, happelembene mikroorganism
acidophilic	atsidofiilne, happelembene
acidophilus milk	atsidofiilpiim
acidosis	atsidoos, ülehappesus kehas
acid precipitation	happevihm
acidproof	happekindel
acid rain	happevihm (pH < 7)
acid test	lakmusproov, tuleproov
acidulate	hapendama
acidulated	hapestatud, happe-
acidulent	hapu
acidulous	hapukas
acid-wash	lumipesu
acinar	üks (kobarast)
acinic	üks (kobarast)
aciniform	kobarjas, kobarakujuline
Acipenseridae	tuurlased
ack-ack	õhutõrjekahur
ack emma	enne lõunat (< AM)
ackman	mereröövel
acknowledge	tunnustama, tunnistama, kinnitama
acknowledgeable	tunnustatav
acknowledged	tunnustatud, üldtunnustatud
acknowledge defeat	kaotust tunnistama
acknowledgement	tunnustus, kinnitus
acknowledgement receipt	väljastusteade
acknowledgements	kooskõlastused, tunnustus
acknowledge receipt of	kättesaamist kinnitama
acknowledgment	teatavaks võtmine, kinnitamine, tunnustamine
aclinic line	magnetekvaator
ACLU	Ameerika Kodanikuvabaduse Liit
acme	haripunkt, tipp
acme of perfection	ülim meisterlikkus
acne	akne, vinnid
acned	vistrikuline
acnestis	kehaosa mida ei saa käega sügada, selg
acock	vinnas, ülespööratud
acold	külmetav
acolyte	akolüüt, vaimuliku abiline, järgija, satelliit
aconite	käoking (Aconitum)
aconitine	akonitiin
Aconitum	käoking
acorea	pupilli puudumine silmas
acorn	tammetõru, tõru
acorn cup	tammetõru "müts"
acorn tube	-, elektronlamp
acouasm	< acousma
a couple of	paar
a couple of hundred	mõnisada
acousma	kuulmishallutsinatsioon
acoustic	akustiline
acoustic mine	akustiline miin
acoustic nerve	kuulmisnärv
acousticophobia	mürahirm, kuulmiskartus
acoustic properties of sounds	häälikute akustilised omadused
acoustic resistance	helitakistus
acoustics	akustika
acoustic wave	helilaine
acquaint	tutvustama
acquaintance	tutvus, tuttav
acquaintanceship	tutvus, tuttavolek
acquainted	tuttav, tundev, kursis
acquainted with	tundma, tuttav olema
acquaint yourself with	end kurssi viima, tutvuma
acquiesce	soostuma, vaikides nõustuma, leppima
acquiesce in	< acquiesce to
acquiescence	vaikiv nõusolek, leppimine
acquiescent	leplik
acquiesce to	(millegagi) leppima, vaikides nõustuma
acquire	omandama, hankima, vormi võtma
acquired	omandatud (passiivselt)
acquired immunity	omandatud immuunsus
acquired taste	kulinaarne asjatundlikkus
acquirement	harjutatud oskus
acquirer	hankija
acquiring	hankimine, valdusse saamine
acquis	acquis, õigustik
acquisition	omandamine, omandus
acquisition of knowledge	teadmiste omandamine
acquisitive	ahne, teadmishimuline
acquisitiveness	saamahimu
acquit	süütuks kuulutama, käituma
acquittal	õigeksmõistmine
acquittance	tühistav dokument (laenu, kohustuse)
acquitted	õigeksmõistetud
acre	aaker (4046 m²)
acreage	ala, pindala aakrites
acre-foot	aakerjalg (vee ruumalaühik, ~1200m³)
acre-inch	aakertoll (vee ruumalaühik, ~100m³)
acres	ulatuslik maavaldus
acrid	kibe, kirbe, terav, salvav
acridity	ülikibedus
acridness	ülikibedus
